protocol_version,seed,seed_group,N,calibration_size_requested,calibration_size_actual,calibration_size_capped,method,threshold,recall,false_positive_rate,empirical_coverage,target_coverage,determines_threshold_1710,target_episode_in_calibration_pool
calibration-tail-robustness-v1.0.0,0,control,25,100,100,False,TRIMMED_5PCT,49029.2994719,0.668874172185,0.07,0.95,0.99,False,False
calibration-tail-robustness-v1.0.0,0,control,25,100,100,False,TRIMMED_10PCT,1261.57293026,0.708609271523,0.08,0.9,0.99,False,False
calibration-tail-robustness-v1.0.0,0,control,25,200|all,119,False,CURRENT_MAX,1744318.66909,0.046357615894,0,1,0.99,False,False
calibration-tail-robustness-v1.0.0,0,control,25,200|all,119,False,STANDARD_CONFORMAL,1744318.66909,0.046357615894,0,1,0.99,False,False
calibration-tail-robustness-v1.0.0,0,control,25,200|all,119,False,TRIMMED_5PCT,49030.2461836,0.668874172185,0.07,0.957983193277,0.99,False,False
calibration-tail-robustness-v1.0.0,0,control,25,200|all,119,False,TRIMMED_10PCT,4132.10704838,0.696688741722,0.08,0.90756302521,0.99,False,False
calibration-tail-robustness-v1.0.0,0,control,50,100,100,False,CURRENT_MAX,2861674.9187,0.046357615894,0,1,0.99,False,False
calibration-tail-robustness-v1.0.0,0,control,50,100,100,False,TRIMMED_5PCT,859.319027944,0.169536423841,0.04,0.95,0.99,False,False
calibration-tail-robustness-v1.0.0,0,control,50,100,100,False,TRIMMED_10PCT,79.1674323599,1,0.09,0.9,0.99,False,False
calibration-tail-robustness-v1.0.0,0,control,50,200|all,119,False,CURRENT_MAX,2861674.9187,0.046357615894,0,1,0.99,False,False
calibration-tail-robustness-v1.0.0,0,control,50,200|all,119,False,STANDARD_CONFORMAL,2861674.9187,0.046357615894,0,1,0.99,False,False
calibration-tail-robustness-v1.0.0,0,control,50,200|all,119,False,TRIMMED_5PCT,1430.84550641,0.150993377483,0.03,0.957983193277,0.99,False,False
calibration-tail-robustness-v1.0.0,0,control,50,200|all,119,False,TRIMMED_10PCT,79.1674323599,1,0.09,0.90756302521,0.99,False,False
calibration-tail-robustness-v1.0.0,0,control,100,100,100,False,CURRENT_MAX,64941.7918871,0.0450331125828,0,1,0.99,False,False
calibration-tail-robustness-v1.0.0,0,control,100,100,100,False,TRIMMED_5PCT,167.96044832,1,0.02,0.95,0.99,False,False
calibration-tail-robustness-v1.0.0,0,control,100,100,100,False,TRIMMED_10PCT,40.3606052923,1,0.05,0.9,0.99,False,False
calibration-tail-robustness-v1.0.0,0,control,100,200|all,119,False,CURRENT_MAX,64941.7918871,0.0450331125828,0,1,0.99,False,False
calibration-tail-robustness-v1.0.0,0,control,100,200|all,119,False,STANDARD_CONFORMAL,64941.7918871,0.0450331125828,0,1,0.99,False,False
calibration-tail-robustness-v1.0.0,0,control,100,200|all,119,False,TRIMMED_5PCT,167.96044832,1,0.02,0.957983193277,0.99,False,False
calibration-tail-robustness-v1.0.0,0,control,100,200|all,119,False,TRIMMED_10PCT,39.9183870166,1,0.05,0.90756302521,0.99,False,False
calibration-tail-robustness-v1.0.0,3,control,10,100,100,False,CURRENT_MAX,66573.6280473,0.471523178808,0.01,1,0.99,False,False
calibration-tail-robustness-v1.0.0,3,control,10,100,100,False,TRIMMED_5PCT,22217.4924276,0.696688741722,0.12,0.95,0.99,False,False
calibration-tail-robustness-v1.0.0,3,control,10,100,100,False,TRIMMED_10PCT,16663.8405141,0.709933774834,0.18,0.9,0.99,False,False
calibration-tail-robustness-v1.0.0,3,control,10,200|all,119,False,CURRENT_MAX,13638331.2375,0.0397350993377,0,1,0.99,False,False
calibration-tail-robustness-v1.0.0,3,control,10,200|all,119,False,STANDARD_CONFORMAL,13638331.2375,0.0397350993377,0,1,0.99,False,False
calibration-tail-robustness-v1.0.0,3,control,10,200|all,119,False,TRIMMED_5PCT,62897.689221,0.671523178808,0.11,0.957983193277,0.99,False,False
calibration-tail-robustness-v1.0.0,3,control,10,200|all,119,False,TRIMMED_10PCT,22216.1130889,0.704635761589,0.16,0.90756302521,0.99,False,False
calibration-tail-robustness-v1.0.0,3,control,25,100,100,False,CURRENT_MAX,69841.4042328,0.409271523179,0.01,1,0.99,False,False
calibration-tail-robustness-v1.0.0,3,control,25,100,100,False,TRIMMED_5PCT,17460.2942499,0.684768211921,0.11,0.95,0.99,False,False
calibration-tail-robustness-v1.0.0,3,control,25,100,100,False,TRIMMED_10PCT,155.5936847,0.98940397351,0.2,0.9,0.99,False,False
calibration-tail-robustness-v1.0.0,3,control,25,200|all,119,False,CURRENT_MAX,24950466.3414,0.0397350993377,0,1,0.99,False,False
calibration-tail-robustness-v1.0.0,3,control,25,200|all,119,False,STANDARD_CONFORMAL,24950466.3414,0.0397350993377,0,1,0.99,False,False
calibration-tail-robustness-v1.0.0,3,control,25,200|all,119,False,TRIMMED_5PCT,69835.0345743,0.651655629139,0.11,0.957983193277,0.99,False,False
calibration-tail-robustness-v1.0.0,3,control,25,200|all,119,False,TRIMMED_10PCT,155.5936847,0.98940397351,0.2,0.90756302521,0.99,False,False
calibration-tail-robustness-v1.0.0,3,control,50,100,100,False,CURRENT_MAX,973.61806899,0.141721854305,0.01,1,0.99,False,False
calibration-tail-robustness-v1.0.0,3,control,50,100,100,False,TRIMMED_5PCT,47.1678612553,1,0.1,0.95,0.99,False,False
calibration-tail-robustness-v1.0.0,3,control,50,100,100,False,TRIMMED_10PCT,36.0828640959,1,0.15,0.9,0.99,False,False
calibration-tail-robustness-v1.0.0,3,control,50,200|all,119,False,CURRENT_MAX,2813487.02375,0.0423841059603,0,1,0.99,False,False
calibration-tail-robustness-v1.0.0,3,control,50,200|all,119,False,STANDARD_CONFORMAL,2813487.02375,0.0423841059603,0,1,0.99,False,False
calibration-tail-robustness-v1.0.0,3,control,50,200|all,119,False,TRIMMED_5PCT,67.2778762429,1,0.07,0.957983193277,0.99,False,False
calibration-tail-robustness-v1.0.0,3,control,50,200|all,119,False,TRIMMED_10PCT,36.1167104096,1,0.15,0.90756302521,0.99,False,False
calibration-tail-robustness-v1.0.0,3,control,100,100,100,False,CURRENT_MAX,80.6933911174,1,0.04,1,0.99,False,False
calibration-tail-robustness-v1.0.0,3,control,100,100,100,False,TRIMMED_5PCT,45.6733643893,1,0.07,0.95,0.99,False,False
calibration-tail-robustness-v1.0.0,3,control,100,100,100,False,TRIMMED_10PCT,35.8085009203,1,0.11,0.9,0.99,False,False
calibration-tail-robustness-v1.0.0,3,control,100,200|all,119,False,CURRENT_MAX,36619.2845211,0.046357615894,0,1,0.99,False,False
calibration-tail-robustness-v1.0.0,3,control,100,200|all,119,False,STANDARD_CONFORMAL,36619.2845211,0.046357615894,0,1,0.99,False,False
calibration-tail-robustness-v1.0.0,3,control,100,200|all,119,False,TRIMMED_5PCT,46.3428824256,1,0.07,0.957983193277,0.99,False,False
calibration-tail-robustness-v1.0.0,3,control,100,200|all,119,False,TRIMMED_10PCT,36.012923108,1,0.11,0.90756302521,0.99,False,False
calibration-tail-robustness-v1.0.0,13,control,10,100,100,False,CURRENT_MAX,84554073823.6,0.0238410596026,0,1,0.99,False,False
calibration-tail-robustness-v1.0.0,13,control,10,100,100,False,TRIMMED_5PCT,90106.591317,0.119205298013,0.08,0.95,0.99,False,False
calibration-tail-robustness-v1.0.0,13,control,10,100,100,False,TRIMMED_10PCT,2249.52563305,0.174834437086,0.14,0.9,0.99,False,False
calibration-tail-robustness-v1.0.0,13,control,10,200|all,119,False,CURRENT_MAX,84554073823.6,0.0238410596026,0,1,0.99,False,False
calibration-tail-robustness-v1.0.0,13,control,10,200|all,119,False,STANDARD_CONFORMAL,84554073823.6,0.0238410596026,0,1,0.99,False,False
calibration-tail-robustness-v1.0.0,13,control,10,200|all,119,False,TRIMMED_5PCT,169069.250046,0.113907284768,0.08,0.957983193277,0.99,False,False
calibration-tail-robustness-v1.0.0,13,control,10,200|all,119,False,TRIMMED_10PCT,21147.637307,0.133774834437,0.11,0.90756302521,0.99,False,False
calibration-tail-robustness-v1.0.0,13,control,25,100,100,False,CURRENT_MAX,50409512.8716,0.0490066225166,0,1,0.99,False,False
calibration-tail-robustness-v1.0.0,13,control,25,100,100,False,TRIMMED_5PCT,295.678119315,0.288741721854,0.14,0.95,0.99,False,False
calibration-tail-robustness-v1.0.0,13,control,25,100,100,False,TRIMMED_10PCT,118.338398314,1,0.16,0.9,0.99,False,False
calibration-tail-robustness-v1.0.0,13,control,25,200|all,119,False,CURRENT_MAX,50409512.8716,0.0490066225166,0,1,0.99,False,False
