protocol_version,seed,N,detector,calibration_method,calibration_request,calibration_size,threshold,threshold_min,threshold_max,threshold_rank,finite_sample_alpha_supported,trimmed_count,recall,false_positive_rate,empirical_coverage,success,episode_1710_present,episode_1710_score,episode_1710_determines_any_threshold,episode_1710_threshold_fraction,episode_1710_neighbor_fraction,retained_features
calibration-tail-robustness-v1.0.0,1,10,RACE,TRIMMED_SENSITIVITY,100,100,44.6855304526,44.6855304526,44.6855304526,99,True,1,0.596026490066,0.02,0.98,False,False,,False,0,0,542
calibration-tail-robustness-v1.0.0,1,10,RACE,MAX_SCORE,all,119,55.4414048614,55.4414048614,55.4414048614,119,False,0,0.466225165563,0,1,False,False,,False,0,0,542
calibration-tail-robustness-v1.0.0,1,10,RACE,FINITE_SAMPLE,all,119,55.4414048614,55.4414048614,55.4414048614,119,True,0,0.466225165563,0,1,False,False,,False,0,0,542
calibration-tail-robustness-v1.0.0,1,10,RACE,CONTEXT_CONDITIONAL,all,119,55.4414048614,52.6250377134,55.4414048614,100,True,0,0.466225165563,0,1,False,False,,False,0,0,542
calibration-tail-robustness-v1.0.0,1,10,RACE,TRIMMED_SENSITIVITY,all,119,52.6250377134,52.6250377134,52.6250377134,118,True,1,0.488741721854,0.01,0.99,False,False,,False,0,0,542
calibration-tail-robustness-v1.0.0,1,25,TargetOnly,MAX_SCORE,100,100,110.466576365,110.466576365,110.466576365,100,False,0,1,0,1,True,False,,False,0,0,529
calibration-tail-robustness-v1.0.0,1,25,TargetOnly,FINITE_SAMPLE,100,100,110.466576365,110.466576365,110.466576365,100,True,0,1,0,1,True,False,,False,0,0,529
calibration-tail-robustness-v1.0.0,1,25,TargetOnly,CONTEXT_CONDITIONAL,100,100,110.466576365,110.466576365,110.466576365,100,True,0,1,0,1,True,False,,False,0,0,529
calibration-tail-robustness-v1.0.0,1,25,TargetOnly,TRIMMED_SENSITIVITY,100,100,60.5622032429,60.5622032429,60.5622032429,99,True,1,1,0,1,True,False,,False,0,0,529
calibration-tail-robustness-v1.0.0,1,25,TargetOnly,MAX_SCORE,all,119,110.466576365,110.466576365,110.466576365,119,False,0,1,0,1,True,False,,False,0,0,529
calibration-tail-robustness-v1.0.0,1,25,TargetOnly,FINITE_SAMPLE,all,119,110.466576365,110.466576365,110.466576365,119,True,0,1,0,1,True,False,,False,0,0,529
calibration-tail-robustness-v1.0.0,1,25,TargetOnly,CONTEXT_CONDITIONAL,all,119,60.5622032429,40.3264104523,110.466576365,100,True,0,1,0,1,True,False,,False,0,0,529
calibration-tail-robustness-v1.0.0,1,25,TargetOnly,TRIMMED_SENSITIVITY,all,119,60.5622032429,60.5622032429,60.5622032429,118,True,1,1,0,1,True,False,,False,0,0,529
calibration-tail-robustness-v1.0.0,1,25,RACE,MAX_SCORE,100,100,56.9127846499,56.9127846499,56.9127846499,100,False,0,0.405298013245,0,1,False,False,,False,0,0,542
calibration-tail-robustness-v1.0.0,1,25,RACE,FINITE_SAMPLE,100,100,56.9127846499,56.9127846499,56.9127846499,100,True,0,0.405298013245,0,1,False,False,,False,0,0,542
calibration-tail-robustness-v1.0.0,1,25,RACE,CONTEXT_CONDITIONAL,100,100,56.9127846499,56.9127846499,56.9127846499,100,True,0,0.405298013245,0,1,False,False,,False,0,0,542
calibration-tail-robustness-v1.0.0,1,25,RACE,TRIMMED_SENSITIVITY,100,100,35.5739600636,35.5739600636,35.5739600636,99,True,1,0.745695364238,0.02,0.98,False,False,,False,0,0,542
calibration-tail-robustness-v1.0.0,1,25,RACE,MAX_SCORE,all,119,56.9127846499,56.9127846499,56.9127846499,119,False,0,0.405298013245,0,1,False,False,,False,0,0,542
calibration-tail-robustness-v1.0.0,1,25,RACE,FINITE_SAMPLE,all,119,56.9127846499,56.9127846499,56.9127846499,119,True,0,0.405298013245,0,1,False,False,,False,0,0,542
calibration-tail-robustness-v1.0.0,1,25,RACE,CONTEXT_CONDITIONAL,all,119,56.9127846499,54.3613647701,56.9127846499,100,True,0,0.405298013245,0,1,False,False,,False,0,0,542
calibration-tail-robustness-v1.0.0,1,25,RACE,TRIMMED_SENSITIVITY,all,119,54.3613647701,54.3613647701,54.3613647701,118,True,1,0.439735099338,0.01,0.99,False,False,,False,0,0,542
calibration-tail-robustness-v1.0.0,1,50,TargetOnly,MAX_SCORE,100,100,124.333535204,124.333535204,124.333535204,100,False,0,1,0,1,True,False,,False,0,0,532
calibration-tail-robustness-v1.0.0,1,50,TargetOnly,FINITE_SAMPLE,100,100,124.333535204,124.333535204,124.333535204,100,True,0,1,0,1,True,False,,False,0,0,532
calibration-tail-robustness-v1.0.0,1,50,TargetOnly,CONTEXT_CONDITIONAL,100,100,124.333535204,124.333535204,124.333535204,100,True,0,1,0,1,True,False,,False,0,0,532
calibration-tail-robustness-v1.0.0,1,50,TargetOnly,TRIMMED_SENSITIVITY,100,100,63.7729705383,63.7729705383,63.7729705383,99,True,1,1,0,1,True,False,,False,0,0,532
calibration-tail-robustness-v1.0.0,1,50,TargetOnly,MAX_SCORE,all,119,124.333535204,124.333535204,124.333535204,119,False,0,1,0,1,True,False,,False,0,0,532
calibration-tail-robustness-v1.0.0,1,50,TargetOnly,FINITE_SAMPLE,all,119,124.333535204,124.333535204,124.333535204,119,True,0,1,0,1,True,False,,False,0,0,532
calibration-tail-robustness-v1.0.0,1,50,TargetOnly,CONTEXT_CONDITIONAL,all,119,63.7729705383,39.9200369665,124.333535204,100,True,0,1,0,1,True,False,,False,0,0,532
calibration-tail-robustness-v1.0.0,1,50,TargetOnly,TRIMMED_SENSITIVITY,all,119,63.7729705383,63.7729705383,63.7729705383,118,True,1,1,0,1,True,False,,False,0,0,532
calibration-tail-robustness-v1.0.0,1,50,RACE,MAX_SCORE,100,100,61.244336514,61.244336514,61.244336514,100,False,0,0.397350993377,0,1,False,False,,False,0,0,542
calibration-tail-robustness-v1.0.0,1,50,RACE,FINITE_SAMPLE,100,100,61.244336514,61.244336514,61.244336514,100,True,0,0.397350993377,0,1,False,False,,False,0,0,542
calibration-tail-robustness-v1.0.0,1,50,RACE,CONTEXT_CONDITIONAL,100,100,61.244336514,61.244336514,61.244336514,100,True,0,0.397350993377,0,1,False,False,,False,0,0,542
calibration-tail-robustness-v1.0.0,1,50,RACE,TRIMMED_SENSITIVITY,100,100,34.4118252968,34.4118252968,34.4118252968,99,True,1,0.843708609272,0.02,0.98,False,False,,False,0,0,542
calibration-tail-robustness-v1.0.0,1,50,RACE,MAX_SCORE,all,119,61.244336514,61.244336514,61.244336514,119,False,0,0.397350993377,0,1,False,False,,False,0,0,542
calibration-tail-robustness-v1.0.0,1,50,RACE,FINITE_SAMPLE,all,119,61.244336514,61.244336514,61.244336514,119,True,0,0.397350993377,0,1,False,False,,False,0,0,542
calibration-tail-robustness-v1.0.0,1,50,RACE,CONTEXT_CONDITIONAL,all,119,61.244336514,58.7657021976,61.244336514,100,True,0,0.397350993377,0,1,False,False,,False,0,0,542
calibration-tail-robustness-v1.0.0,1,50,RACE,TRIMMED_SENSITIVITY,all,119,58.7657021976,58.7657021976,58.7657021976,118,True,1,0.406622516556,0.01,0.99,False,False,,False,0,0,542
calibration-tail-robustness-v1.0.0,1,100,TargetOnly,MAX_SCORE,100,100,121.449331787,121.449331787,121.449331787,100,False,0,1,0,1,True,False,,False,0,0,533
calibration-tail-robustness-v1.0.0,1,100,TargetOnly,FINITE_SAMPLE,100,100,121.449331787,121.449331787,121.449331787,100,True,0,1,0,1,True,False,,False,0,0,533
calibration-tail-robustness-v1.0.0,1,100,TargetOnly,CONTEXT_CONDITIONAL,100,100,121.449331787,121.449331787,121.449331787,100,True,0,1,0,1,True,False,,False,0,0,533
calibration-tail-robustness-v1.0.0,1,100,TargetOnly,TRIMMED_SENSITIVITY,100,100,65.6661512146,65.6661512146,65.6661512146,99,True,1,1,0,1,True,False,,False,0,0,533
calibration-tail-robustness-v1.0.0,1,100,TargetOnly,MAX_SCORE,all,119,121.449331787,121.449331787,121.449331787,119,False,0,1,0,1,True,False,,False,0,0,533
calibration-tail-robustness-v1.0.0,1,100,TargetOnly,FINITE_SAMPLE,all,119,121.449331787,121.449331787,121.449331787,119,True,0,1,0,1,True,False,,False,0,0,533
calibration-tail-robustness-v1.0.0,1,100,TargetOnly,CONTEXT_CONDITIONAL,all,119,65.6661512146,39.6745365604,121.449331787,100,True,0,1,0,1,True,False,,False,0,0,533
calibration-tail-robustness-v1.0.0,1,100,TargetOnly,TRIMMED_SENSITIVITY,all,119,65.6661512146,65.6661512146,65.6661512146,118,True,1,1,0,1,True,False,,False,0,0,533
calibration-tail-robustness-v1.0.0,1,100,RACE,MAX_SCORE,100,100,70.3697544588,70.3697544588,70.3697544588,100,False,0,0.384105960265,0,1,False,False,,False,0,0,542
calibration-tail-robustness-v1.0.0,1,100,RACE,FINITE_SAMPLE,100,100,70.3697544588,70.3697544588,70.3697544588,100,True,0,0.384105960265,0,1,False,False,,False,0,0,542
calibration-tail-robustness-v1.0.0,1,100,RACE,CONTEXT_CONDITIONAL,100,100,70.3697544588,70.3697544588,70.3697544588,100,True,0,0.384105960265,0,1,False,False,,False,0,0,542
calibration-tail-robustness-v1.0.0,1,100,RACE,TRIMMED_SENSITIVITY,100,100,34.0067594453,34.0067594453,34.0067594453,99,True,1,0.98940397351,0.02,0.98,False,False,,False,0,0,542
calibration-tail-robustness-v1.0.0,1,100,RACE,MAX_SCORE,all,119,70.3697544588,70.3697544588,70.3697544588,119,False,0,0.384105960265,0,1,False,False,,False,0,0,542
calibration-tail-robustness-v1.0.0,1,100,RACE,FINITE_SAMPLE,all,119,70.3697544588,70.3697544588,70.3697544588,119,True,0,0.384105960265,0,1,False,False,,False,0,0,542
calibration-tail-robustness-v1.0.0,1,100,RACE,CONTEXT_CONDITIONAL,all,119,70.3697544588,68.0723335492,70.3697544588,100,True,0,0.384105960265,0,1,False,False,,False,0,0,542
calibration-tail-robustness-v1.0.0,1,100,RACE,TRIMMED_SENSITIVITY,all,119,68.0723335492,68.0723335492,68.0723335492,118,True,1,0.390728476821,0.01,0.99,False,False,,False,0,0,542
calibration-tail-robustness-v1.0.0,2,10,TargetOnly,MAX_SCORE,100,100,41.7265927398,41.7265927398,41.7265927398,100,False,0,1,0.04,0.96,False,False,,False,0,0,526
calibration-tail-robustness-v1.0.0,2,10,TargetOnly,FINITE_SAMPLE,100,100,41.7265927398,41.7265927398,41.7265927398,100,True,0,1,0.04,0.96,False,False,,False,0,0,526
calibration-tail-robustness-v1.0.0,2,10,TargetOnly,CONTEXT_CONDITIONAL,100,100,41.7265927398,41.7265927398,41.7265927398,100,True,0,1,0.04,0.96,False,False,,False,0,0,526
calibration-tail-robustness-v1.0.0,2,10,TargetOnly,TRIMMED_SENSITIVITY,100,100,40.1523281436,40.1523281436,40.1523281436,99,True,1,1,0.04,0.96,False,False,,False,0,0,526
calibration-tail-robustness-v1.0.0,2,10,TargetOnly,MAX_SCORE,all,119,41.7265927398,41.7265927398,41.7265927398,119,False,0,1,0.04,0.96,False,False,,False,0,0,526
calibration-tail-robustness-v1.0.0,2,10,TargetOnly,FINITE_SAMPLE,all,119,41.7265927398,41.7265927398,41.7265927398,119,True,0,1,0.04,0.96,False,False,,False,0,0,526
