protocol_version,seed,N,detector,score_variant,clip,analysis_role,threshold,threshold_rank,finite_sample_alpha_supported,interior_order_statistic,recall,false_positive_rate,success,auroc,auprc,max_to_second_calibration_ratio,threshold_setter_ids,threshold_setter_count,effective_feature_dimension,mean_calibration_clipped_fraction,mean_healthy_clipped_fraction,mean_anomaly_clipped_fraction,target_weight
bounded-robust-whitening-v1.0.0,1,25,TargetOnly,BOUNDED_ROBUST_WHITENING,2.5,sensitivity,7.59243976131,100,True,False,0.0993377483444,0,False,0.773350993377,0.964265076504,1.02138839637,1742,1,515,0.00431067961165,0.00353398058252,0.00703401273066,1
bounded-robust-whitening-v1.0.0,1,25,TargetOnly,BOUNDED_ROBUST_WHITENING,4,sensitivity,10.1915614395,100,True,False,0.0807947019868,0,False,0.794264900662,0.968268196245,1.04456144796,1742,1,515,0.00159223300971,0.00106796116505,0.00327653828843,1
bounded-robust-whitening-v1.0.0,1,25,RACE,BOUNDED_ROBUST_WHITENING,3,primary,7.47529810843,100,True,False,0.135099337748,0,False,0.453668874172,0.90094129255,1.02121956979,1915,1,515,0.00256310679612,0.00209708737864,0.00275702436829,0.294117647059
bounded-robust-whitening-v1.0.0,1,25,RACE,BOUNDED_ROBUST_WHITENING,2.5,sensitivity,6.92651240432,100,True,False,0.111258278146,0,False,0.457933774834,0.899162988466,1.01510140196,1915,1,515,0.00401941747573,0.00427184466019,0.00403523435993,0.294117647059
bounded-robust-whitening-v1.0.0,1,25,RACE,BOUNDED_ROBUST_WHITENING,4,sensitivity,8.41064863774,100,True,False,0.132450331126,0,False,0.463774834437,0.905793124932,1.02184650769,1947,1,515,0.00073786407767,0.000543689320388,0.00108274930882,0.294117647059
bounded-robust-whitening-v1.0.0,1,50,TargetOnly,CURRENT_MAHALANOBIS,none,reference,124.333535204,100,True,False,1,0,True,1,1,1.94962746999,1840,1,532,0,0,0,
bounded-robust-whitening-v1.0.0,1,50,RACE,CURRENT_MAHALANOBIS,none,reference,61.244336514,100,True,False,0.397350993377,0,False,0.989099337748,0.997905095546,1.77974681627,1771,1,542,0,0,0,0.454545454545
bounded-robust-whitening-v1.0.0,1,50,TargetOnly,ROBUST_DIAGONAL,3,primary,35.2917916281,100,True,False,0.419867549669,0,False,0.971933774834,0.996195766654,1.03265935403,1962,1,514,0.0287159533074,0.0268677042802,0.115293632592,
bounded-robust-whitening-v1.0.0,1,50,TargetOnly,ROBUST_DIAGONAL,2.5,sensitivity,32.4854765279,100,True,False,0.415894039735,0,False,0.963377483444,0.994989826456,1.03006421908,1962,1,514,0.0425291828794,0.0417120622568,0.15243641611,
bounded-robust-whitening-v1.0.0,1,50,TargetOnly,ROBUST_DIAGONAL,4,sensitivity,39.6733614965,100,True,False,0.418543046358,0,False,0.980569536424,0.997409518889,1.0283904935,1962,1,514,0.0200583657588,0.0182490272374,0.0769113819672,
bounded-robust-whitening-v1.0.0,1,50,TargetOnly,BOUNDED_ROBUST_WHITENING,3,primary,6.34978097959,100,True,False,0.392052980132,0,False,0.813059602649,0.972912522344,1.01224460286,1742,1,514,0.00056420233463,0.00068093385214,0.00317726183421,1
bounded-robust-whitening-v1.0.0,1,50,TargetOnly,BOUNDED_ROBUST_WHITENING,2.5,sensitivity,6.04284491302,100,True,False,0.33642384106,0,False,0.809907284768,0.972507860185,1.01981442493,1742,1,514,0.00110894941634,0.00107003891051,0.00456103280336,1
bounded-robust-whitening-v1.0.0,1,50,TargetOnly,BOUNDED_ROBUST_WHITENING,4,sensitivity,7.0082371063,100,True,False,0.341721854305,0,False,0.80961589404,0.972146262882,1.01879712455,1773,1,514,0.000194552529183,0.000175097276265,0.00150745999433,1
bounded-robust-whitening-v1.0.0,1,50,RACE,BOUNDED_ROBUST_WHITENING,3,primary,6.56795081862,100,True,False,0.154966887417,0,False,0.568490066225,0.923891400296,1.0235657596,1929,1,514,0.00068093385214,0.000700389105058,0.00184760481356,0.454545454545
bounded-robust-whitening-v1.0.0,1,50,RACE,BOUNDED_ROBUST_WHITENING,2.5,sensitivity,6.07756257169,100,True,False,0.14701986755,0,False,0.561099337748,0.919828145399,1.00985252556,1929,1,514,0.00151750972763,0.00177042801556,0.00294019120262,0.454545454545
bounded-robust-whitening-v1.0.0,1,50,RACE,BOUNDED_ROBUST_WHITENING,4,sensitivity,7.19277248632,100,True,False,0.161589403974,0,False,0.567986754967,0.924876622134,1.03630534058,1929,1,514,0.00011673151751,7.78210116732e-05,0.000649367382173,0.454545454545
bounded-robust-whitening-v1.0.0,1,100,TargetOnly,CURRENT_MAHALANOBIS,none,reference,121.449331787,100,True,False,1,0,True,1,1,1.84949672762,1840,1,533,0,0,0,
bounded-robust-whitening-v1.0.0,1,100,RACE,CURRENT_MAHALANOBIS,none,reference,70.3697544588,100,True,False,0.384105960265,0,False,0.988675496689,0.997782565854,2.06928727132,1771,1,542,0,0,0,0.625
bounded-robust-whitening-v1.0.0,1,100,TargetOnly,ROBUST_DIAGONAL,3,primary,36.5680114162,100,True,False,0.341721854305,0,False,0.968516556291,0.995514561463,1.06871836935,1962,1,513,0.027037037037,0.0247173489279,0.113995068613,
