detector,commissioning_size,seed,reconstructed_threshold,frozen_threshold,reconstructed_fpr,frozen_fpr,reconstructed_recall,frozen_recall,reconstructed_retained_features,frozen_retained_features,reconstructed_target_weight,frozen_target_weight,passed
TargetOnly,50,8,139.8900108166881,139.890010816688,0.01,0.01,1.0,1.0,532,532,,,True
Pooled,50,8,34.24512331385952,34.245123313859615,0.04,0.04,0.9973509933774835,0.9973509933774836,542,542,,,True
RACE,50,8,31.65955672114585,31.659556721145844,0.02,0.02,0.9920529801324504,0.9920529801324504,542,542,0.45454545454545453,0.4545454545454545,True
SourceOnly,100,8,43.99057039074653,43.99057039074639,0.02,0.02,0.7814569536423841,0.7814569536423841,540,540,,,True
TargetOnly,100,8,145.3233279484847,145.32332794848486,0.01,0.01,1.0,1.0,533,533,,,True
Pooled,100,8,33.70361628007395,33.70361628007415,0.04,0.04,0.9986754966887417,0.9986754966887416,542,542,,,True
RACE,100,8,34.00910501738656,34.00910501738661,0.02,0.02,0.9973509933774835,0.9973509933774836,542,542,0.625,0.625,True
SourceOnly,10,9,58.51449921287333,58.514499212873325,0.0,0.0,0.5364238410596026,0.5364238410596026,540,540,,,True
TargetOnly,10,9,6755.918367536556,6755.918367536551,0.0,0.0,0.0026490066225165563,0.0026490066225165,529,529,,,True
Pooled,10,9,57.862094920526864,57.86209492052679,0.0,0.0,0.552317880794702,0.552317880794702,542,542,,,True
RACE,10,9,54.38395778132277,54.38395778132282,0.0,0.0,0.47152317880794703,0.471523178807947,542,542,0.14285714285714285,0.1428571428571428,True
SourceOnly,25,9,58.51449921287333,58.514499212873325,0.0,0.0,0.5364238410596026,0.5364238410596026,540,540,,,True
TargetOnly,25,9,9595.408741905838,9595.408741905843,0.0,0.0,0.0026490066225165563,0.0026490066225165,532,532,,,True
Pooled,25,9,56.969891682176446,56.96989168217637,0.0,0.0,0.5403973509933775,0.5403973509933775,542,542,,,True
RACE,25,9,55.98702015486165,55.98702015486168,0.0,0.0,0.4384105960264901,0.4384105960264901,542,542,0.29411764705882354,0.2941176470588235,True
SourceOnly,50,9,58.51449921287333,58.514499212873325,0.0,0.0,0.5364238410596026,0.5364238410596026,540,540,,,True
TargetOnly,50,9,12737.267601929623,12737.267601929663,0.0,0.0,0.0026490066225165563,0.0026490066225165,535,535,,,True
Pooled,50,9,39.669597370657556,39.66959737065753,0.0,0.0,0.8847682119205298,0.8847682119205298,542,542,,,True
RACE,50,9,33.45754415932476,33.457544159324755,0.0,0.0,0.8980132450331125,0.8980132450331125,542,542,0.45454545454545453,0.4545454545454545,True
SourceOnly,100,9,58.51449921287333,58.514499212873325,0.0,0.0,0.5364238410596026,0.5364238410596026,540,540,,,True
TargetOnly,100,9,14613.6050739846,14613.60507398462,0.0,0.0,0.0026490066225165563,0.0026490066225165,534,534,,,True
